name,Weight,Class,Energy,Protein,Fat,Carbohydrate,Total Dietary,Calcium,Iron,Sodium,Vitamin A (Retinol),Vitamin A (Beta-Carotene),Vitamin B1 (Thiamine),Vitamin B2 (Rivoflavin),Vitamin C,Linoleic Acid,Alpha-Linolenic Acid,EPA,DHA
황태김칫국,36.5,국,48.8,6.3657,1.82245,1.3428,0.149,44.335,0.45455,103.495,0,4.072916667,0.026595,0.03661,1.79835,0.1992603,0.93147495,0,0
황태미역국,13.3,국,51.869,6.67149,2.42211,1.47705,1.0799,65.384,0.43891,294.441,0,15.48083333,0.007429,0.028458,0.05193,0.84229774,0.0260327,25.7424,0
황태애호박국,41.6,국,49.404,6.37219,1.81076,1.70595,0.5969,37.774,0.38266,138.852,0,5.060416667,0.020724,0.042988,1.38958,0.20253934,0.94022495,0,0
황태채맑은국,23.6,국,45.304,6.17079,1.79456,0.74515,0.1689,35.234,0.34026,138.972,0,0.567083333,0.014304,0.027408,0.91438,0.19992254,0.93167115,0,0
황태콩나물국,49.1,국,59.189,6.92529,2.67936,1.78975,0.4429,41.709,0.58126,144.797,13.6,0.645416667,0.038554,0.082928,1.30198,0.40971704,0.95136935,0,7.072
비빔만두,97.5,"반찬_나물,무침,샐러드_주찬",167.135,9.8222,8.35945,12.4297,1.294,23.57,0.8458,125.12,14.35,32.05625,0.25739,0.17391,1.86675,3.5369869,0.34789445,0,7.072
너비아니샐러드,99,"반찬_나물,무침,샐러드_주찬",166.94,7.9983,10.8306,9.1289,1.143,28.35,1.2566,264.99,14.6,4.176666667,0.03775,0.27009,4.6972,1.4937698,0.1943891,0.3875,3.536
들깨오이무침,39.2,"반찬_나물,무침,샐러드_주찬",24.314,1.1854,1.39938,2.29248,0.963,18.216,0.322,48.942,0,1.617666667,0.01333,0.0499,3.669,0.2417511,0.74573324,0,0
새우살들깨무침,34.2,"반찬_나물,무침,샐러드_주찬",46.964,6.8019,1.66138,1.07348,0.668,35.166,1.032,128.892,0,0.084333333,0.01098,0.06615,0.3,0.2384241,0.74364224,0,0
새우살채소깨무침,58.1,"반찬_나물,무침,샐러드_주찬",45.877,6.7715,1.26049,1.84104,0.831,50.813,0.98805,130.496,0,24.21091667,0.03496,0.05879,1.576,0.44320865,0.00545867,0,0
쇠고기김무침,35.1,"반찬_나물,무침,샐러드_주찬",98.669,5.60233,8.21664,1.08194,0.0708,12.215,1.06647,66.635,7.8,37.96566667,0.032141,0.179056,2.19472,0.26402926,0.00962996,0,0
브로콜리오징어무침,73,"반찬_나물,무침,샐러드_주찬",64.76,6.524,1.5271,6.6761,0.895,14.36,0.3016,160.03,0,35.21333333,0.02375,0.05638,5.9455,0.4582425,0.0187672,47.37,186.33
오징어무침,65,"반찬_나물,무침,샐러드_주찬",60.38,6.1169,1.5086,5.7864,0.605,9.77,0.1766,185.95,0,38.32583333,0.04565,0.03838,2.1325,0.4582159,0.0113882,47.37,186.33
떡탕평채,64,"반찬_나물,무침,샐러드_주찬",76.69,3.5334,3.39075,8.0737,0.236,13.66,0.67285,197.47,15.68,11.11958333,0.02139,0.14716,1.7273,0.36978225,0.00926175,0,7.072
오색묵무침,71,"반찬_나물,무침,샐러드_주찬",109.22,5.3106,8.0965,3.799,0.287,20.18,0.993,274.26,24.3,37.13666667,0.02705,0.25104,3.2398,1.4904211,0.0254436,0,10.608
탕평채무침,77,"반찬_나물,무침,샐러드_주찬",86.05,3.4497,6.07255,4.47585,0.3565,20.055,0.79555,173.83,15.68,11.42291667,0.026015,0.16687,2.6518,1.48962175,0.02380205,0,7.072
닭고기냉채,65,"반찬_나물,무침,샐러드_주찬",53.67,7.747,0.5942,4.3106,0.899,22.75,0.5161,33.17,14.1,56.79333333,0.08476,0.11733,11.2615,0.0711006,0.0198067,0,0
훈제오리무침,63,"반찬_나물,무침,샐러드_주찬",89.84,4.8859,5.8886,4.6916,1.232,22.89,0.6054,69.95,8.75,54.49083333,0.04927,0.06074,3.6654,1.2950509,0.0629629,0.665,1.7925
훈제오리냉채,58,"반찬_나물,무침,샐러드_주찬",78.73,4.6153,4.9117,4.1028,0.785,17.53,0.5379,33.25,8.75,44.185,0.03543,0.04667,11.2644,0.8728254,0.0556311,0.665,1.7925
닭가슴살부추무침,52.9,"반찬_나물,무침,샐러드_주찬",43.906,7.6674,0.67963,1.56748,0.039,9.552,0.92425,144.315,14.1,1.133666667,0.087265,0.08447,1.46765,0.08384175,0.00106814,0,0
닭가슴살사과무침,53,"반찬_나물,무침,샐러드_주찬",85.37,8.1208,4.0848,4.1813,0.51,6.47,0.4271,31.41,14.37,0.3175,0.06619,0.08054,0.6845,1.6936472,0.1761794,0,0
가지나물,39.9,"반찬_나물,무침,샐러드_부찬",19.555,0.67043,1.09896,2.01876,1.0123,9.334,0.19527,95.828,0,2.62675,0.014406,0.098851,0.22907,0.45327026,0.00632572,0,0
가지들깨나물,41.9,"반찬_나물,무침,샐러드_부찬",30.155,1.12403,1.89376,2.60396,1.4523,17.154,0.35007,95.848,0,2.68175,0.021466,0.114031,0.22907,0.55672466,0.50137512,0,0
감자샐러드,45,"반찬_나물,무침,샐러드_부찬",55.25,0.726,3.801,4.748,0.9,6.25,0.2065,24.8,0.45,23.77083333,0.0182,0.01565,3.9035,1.9684925,0.292378,0,0
견과류고구마범벅,64,"반찬_나물,무침,샐러드_부찬",189.5,4.9793,12.1025,15.9048,1.782,114.76,0.56,171.62,9,4.72,0.05123,0.09759,2.5025,3.8802841,0.6611479,3.3165,0
고구마범벅,60,"반찬_나물,무침,샐러드_부찬",141.85,3.2685,7.0215,16.123,1.08,100.9,0.221,165.1,9,4.745833333,0.036,0.0387,2.8585,2.011046,0.314575,3.3165,0
고구마샐러드,52,"반찬_나물,무침,샐러드_부찬",117.94,0.6393,3.8636,20.7198,1.395,12.04,0.3083,27.79,0.45,1.369166667,0.03247,0.0909,2.8641,1.9830117,0.29399,0,0
고구마순나물,39.5,"반찬_나물,무침,샐러드_부찬",25.535,0.34635,1.996,1.4512,0.796,33.765,0.20465,24.265,0,2.6025,0.008845,0.01666,0.8688,1.0168206,0.1320096,0,0
고사리들깨나물,40.7,"반찬_나물,무침,샐러드_부찬",43.569,1.79307,3.33372,2.33696,1.8822,17.573,0.59613,24.269,0,8.823833333,0.015325,0.086104,0.903,1.0383132,0.75750102,0.371,0
고사리들깨볶음,40.5,"반찬_나물,무침,샐러드_부찬",42.455,1.74115,3.2435,2.2933,1.854,15.865,0.58335,24.265,0,8.821666667,0.014635,0.08024,0.903,1.0020511,0.757158,0.371,0
고사리나물,40.7,"반찬_나물,무침,샐러드_부찬",33.701,1.62071,2.45804,1.9767,1.5066,21.376,0.48414,24.199,0,9.1025,0.012171,0.117722,0.97997,1.00220511,0.0157186,0.371,0
과일샐러드(요거트드레싱),70,"반찬_나물,무침,샐러드_부찬",88.45,1.6575,4.8175,10.3565,0.945,40.55,0.15,46.25,15.2,0.491666667,0.01515,0.11115,1.1775,2.001929,0.2962685,0,0
요거트과일샐러드,70,"반찬_나물,무침,샐러드_부찬",88.45,1.6575,4.8175,10.3565,0.945,40.55,0.15,46.25,15.2,0.491666667,0.01515,0.11115,1.1775,2.001929,0.2962685,0,0
요거트과일범벅,60,"반찬_나물,무침,샐러드_부찬",39.9,1.504,1.0305,6.678,0.785,38.35,0.116,11.6,14.75,0.558333333,0.02005,0.05555,4.7085,0.025893,0.0056415,0,0
과일샐러드,50,"반찬_나물,무침,샐러드_부찬",77.05,0.4575,3.8655,11.093,0.815,5.95,0.169,34.75,0.45,0.7,0.014,0.07995,1.3035,1.9839905,0.293994,0,0
수박샐러드,123,"반찬_나물,무침,샐러드_부찬",87.36,0.8487,3.8524,13.8387,0.765,8.71,0.2462,23.91,0.45,57.33916667,0.02843,0.07205,0.6669,1.9802738,0.294632,0,0
그린샐러드,40,"반찬_나물,무침,샐러드_부찬",44.25,0.7185,3.827,2.193,0.68,9.3,0.201,23.85,0.45,6.108333333,0.0078,0.0373,15.618,1.971903,0.303571,0,0
열무된장무침,36,"반찬_나물,무침,샐러드_부찬",26.86,0.9743,2.1672,1.0922,0.401,50.81,0.7815,164.45,0,68.20083333,0.0363,0.04127,2.3119,0.8382118,0.0446944,0,0
열무나물,33.8,"반찬_나물,무침,샐러드_부찬",23.968,0.69992,2.1016,0.80213,0.4237,49.355,0.58048,45.366,0,68.20191667,0.014406,0.036604,2.35197,0.85646496,0.04486591,0,0
두부열무나물,59,"반찬_나물,무침,샐러드_부찬",48.03,3.1378,3.2137,1.7451,1.134,64.63,0.9728,62.8,0,68.20083333,0.02189,0.09266,2.3119,1.4346593,0.1415869,0,0
근대나물무침,46,"반찬_나물,무침,샐러드_부찬",32.09,1.1068,1.2369,4.7834,1.737,21.24,0.389,156.67,0,102.5875,0.04312,0.12898,1.9538,0.5340335,0.0435404,0,0
근대나물된장무침,40,"반찬_나물,무침,샐러드_부찬",27.59,0.8623,2.1372,1.4932,0.956,20.35,0.387,160.69,0,89.5925,0.0484,0.04707,1.8169,0.8454078,0.0412549,0,0
근대나물,37.6,"반찬_나물,무침,샐러드_부찬",10.324,0.76068,0.36174,1.39154,1.0003,20.165,0.25132,84.505,0,89.94441667,0.034471,0.054681,1.90907,0.13283026,0.03219866,0,0
깻잎지,23,"반찬_나물,무침,샐러드_부찬",34.25,1.1524,2.2376,2.9643,1.647,48.78,0.5049,96.39,0,108.3175,0.05927,0.1562,0.6833,0.9481301,0.0554901,0,0
깻잎순나물,22.9,"반찬_나물,무침,샐러드_부찬",29.615,1.00373,2.18226,1.96046,1.1788,61.909,0.43957,24.443,0,126.1038333,0.066921,0.117536,0.56972,0.88270556,0.06003042,0,0
깻잎나물,37.9,"반찬_나물,무침,샐러드_부찬",23.255,1.69943,0.76566,3.36386,2.0578,106.024,0.71212,24.353,0,220.9988333,0.117261,0.194096,1.03247,0.26951771,0.08914872,0,0
잔파느타리버섯강회,43,"반찬_나물,무침,샐러드_부찬",13.83,1.0907,0.0731,3.8374,1.322,7.77,0.5011,59.16,0,12.3675,0.048,0.07908,1.558,0.0351889,0.0059969,0,0
느타리버섯나물,37.6,"반찬_나물,무침,샐러드_부찬",9.697,1.02332,0.27483,2.33221,1.3767,1.461,0.25598,64.625,0,0.349166667,0.054396,0.075084,0.31382,0.11623856,0.0016145,0,0
느타리버섯무침,31.5,"반찬_나물,무침,샐러드_부찬",15.085,0.84975,1.0199,1.8841,1.144,0.555,0.22365,24.375,0,0.009166667,0.045195,0.06762,0.189,0.4282455,0.0053407,0,0
느타리버섯김무침,35.4,"반찬_나물,무침,샐러드_부찬",20.09,1.71443,1.14661,2.85906,1.2028,9.139,0.60237,50.263,0,37.85758333,0.071111,0.134446,2.12597,0.46532846,0.00605857,0,0
다시마채무침,40,"반찬_나물,무침,샐러드_부찬",15.85,0.6026,1.0687,1.887,0.038,38.42,0.9431,122.07,0,24.04916667,0.01188,0.08162,5.1738,0.4171181,0.0061967,0,0
단배추된장무침,42,"반찬_나물,무침,샐러드_부찬",27.77,0.7946,2.1336,1.5106,0.897,71.23,0.431,168.95,0,45,0.04755,0.05209,7.9178,0.8357771,0.0264649,0,0
단배추나물,41,"반찬_나물,무침,샐러드_부찬",25.72,0.6446,2.0226,1.3914,0.913,69.3,0.2536,114.88,0,45,0.02553,0.07497,7.9178,0.8357771,0.0264649,0,0
배추나물,41,"반찬_나물,무침,샐러드_부찬",25.02,0.6026,1.9946,1.3634,0.038,12.95,0.2956,101.23,0,1.629166667,0.07138,0.04732,3.7738,0.8333306,0.0115374,0,0
단호박견과류샐러드,56,"반찬_나물,무침,샐러드_부찬",113.55,4.4772,6.8075,10.0532,2.283,110.84,0.4345,145.13,8.55,95.23833333,0.03397,0.16196,3.661,1.3371309,0.2777426,3.3165,0
단호박샐러드,55,"반찬_나물,무침,샐러드_부찬",112.2,3.3535,7.199,9.2805,1.725,102.1,0.221,163.65,9,95.44583333,0.0228,0.1242,3.661,2.0509145,0.337353,3.3165,0
