Morning Snack1,Morning Snack2,Lunch1,Lunch2,Lunch3,Lunch4,Lunch5,Afternoon Snack1,Afternoon Snack2,Dinner1,Dinner2,Dinner3,Dinner4,Dinner5
S흑임자죽,S귤,백미밥,숙주맑은국,쇠고기당면볶음,연근흑임자소스무침,배추김치,S바나나,S우유(150ml),차조밥,순두부찌개,만두탕수,냉이나물,깍두기
S닭죽,,흑미밥,애호박된장국,카레두부버섯전,봄동나물,깍두기,S찐빵,S우유(150ml),백미밥,부추재첩국,쇠불고기,숙주나물김무침,배추김치
S무청죽,,장조림버터비빔밥,미니우동,달걀후라이,깍두기,,S양념꼬치어묵,S우유(150ml),흑미밥,봄동된장국,고등어카레구이,우엉채조림,배추김치
S타락죽,,기장밥,매생이국,오리불고기,부추양파겉절이,배추김치,S잔치국수,,백미밥,들깨뭇국,돼지고기장조림(안심),감자채볶음,배추김치
S참치채소죽,,수수밥,새우맑은국,시금치달걀찜,미역줄기볶음,배추김치,S백설기(80g),S우유(100ml),기장밥,두부김치찌개,오리훈제구이,매생이전,깍두기
S우유(200ml),,잡곡밥,청경채된장국,함박스테이크,상추오이무침,깍두기,S수제딸기우유,S식빵토스트,수수밥,쇠고기미역국,새우달걀말이,시금치나물,깍두기
S해물죽,,차조밥,봄동된장국,달걀장조림,깻잎순나물볶음,깍두기,S짜장면,S우유(150ml),잡곡밥,콩나물국,두부강정,무나물,배추김치
S연근채소죽,,기장밥,감자양팟국,쇠불고기,양상추샐러드,배추김치,S찐고구마(80g),S우유(150ml),차조밥,부추달걀국,참치채소볶음,봄동무침,깍두기
S시금치죽,,삼색나물비빔밥,실파미소장국,볼어묵조림,배추김치,,S새우채소볶음밥,S우유(150ml),기장밥,백짬뽕국,쇠고기육전,감자조림,배추김치
S단호박죽,S오렌지,잡곡밥,김칫국,돼지고기채소볶음,도라지오이무침,배추김치,S송편,S우유(150ml),백미밥,사골팟국,오징어숙회+유자소스,시금치나물,배추김치
S전복죽,,수수밥,들깨미역국,후라이드치킨,브로콜리버섯볶음,배추김치,S방울토마토,S떠먹는요구르트(100ml),잡곡밥,볼어묵국,돼지고기볶음,건파래무침,깍두기
S우유(200ml),,쇠고기잡채덮밥,S군만두,무생채,배추김치,,S바나나,S치즈빵,수수밥,미역미소장국,간장닭갈비,새송이버섯전,배추김치
S연두부죽,S사과,기장밥,들깨버섯국,갈치구이,탕평채,배추김치,S블루베리고구마샐러드,S떠먹는요구르트(100ml),백미밥,만둣국(가공만두),배추김치,멸치조림,우엉잡채
S견과죽,,검정콩밥,쑥된장국,닭가슴살고구마볶음,다시마튀각,깍두기,S수제비,S우유(100ml),기장밥,콩비지찌개,갈치조림,버섯탕수,배추김치
S쇠고기미역죽,,우렁된장소스덮밥,팽이버섯달걀탕,마카로니채소샐러드,배추김치,,S토마토스파게티,S우유(100ml),검정콩밥,안매운닭개장,연두부+양념장,오이무침,배추김치
S김가루찹쌀죽,S배,차조밥,쇠고깃국,메추리알피망케첩조림,달래김무침,배추김치,S충무김밥,S우유(100ml),백미밥,우렁이된장국,돼지고기콩나물찜,청경채나물,배추김치
S버섯죽,S귤,수수밥,동태살무국,쇠고기굴소스볶음,유채나물된장무침,깍두기,S우유(100ml),S롤빵,차조밥,들깨채소국,메추리알장조림,달래전,배추김치
S우유(200ml),,과일카레라이스,S치즈스틱,양파초절임,배추김치,,S바람떡,,수수밥,유채된장국,고등어구이,양송이볶음,배추김치
S당근죽,,수수밥,달래된장국,두부양념조림,맛살채소볶음,배추김치,S멸치주먹밥,S우유(100ml),백미밥,바지락국,닭가슴살데리야끼구이,무생채,배추김치
S쇠고기브로콜리죽,S키위,기장밥,북엇국,오삼불고기,건파래무침,깍두기,S크림떡볶이,,수수밥,두부된장국,시금치달걀말이,미니새송이볶음,배추김치
S바지락죽,S오렌지,돼지고기김치볶음밥,다시마무챗국,토마토치즈샐러드,깍두기,,S씨앗호떡,S우유(150ml),기장밥,콩나물국,오징어완자전,봄동나물,깍두기
S옥수수죽,,흑미밥,감자호박국,임연수구이,표고버섯볶음,배추김치,S해물볶음우동,S우유(150ml),백미밥,홍합살미역국,돼지고기피망볶음,과일샐러드,배추김치
S감자우유죽,,차조밥,순두부백탕,닭떡간장조림,마늘종볶음,배추김치,S딸기,S머핀,흑미밥,버섯쇠고기국,참치감자볶음,애호박전,배추김치
S우유(200ml),,백미밥,돼지고기수육,양배추숙쌈+쌈장,무생채,배추김치,S무지개떡,S귤,차조밥,부추달걀국,배추김치,짜장떡볶이,온두부찜
S청포도,,잡곡밥,김국,훈제오리구이,파프리카양파볶음,배추김치,S주꾸미미나리볶음밥,S우유(150ml),일본식쇠고기덮밥(규동),냉이된장국,감자튀김,깍두기,
S버섯죽,,차조밥,오징엇국,두부스테이크,도라지오이무침,배추김치,S삶은달걀,S우유(150ml),잡곡밥,건홍합맑은국,오리불고기,김구이+달래양념장,배추김치
S딸기,,채소볶음밥,감자다시마국,쇠고기잡채,배추김치,,S롤빵,S우유(150ml),검정콩밥,새우살두부국,오징어채소볶음,오이나물,배추김치
S미역죽,,기장밥,쇠고기뭇국,새우버터구이,콩나물무침,배추김치,S온도토리묵국,S치즈빵,백미밥,바지락맑은국,쇠고기떡찜,봄동나물,깍두기
S사과,S배,수수밥,쑥된장국,돼지고기단호박찜,느타리버섯볶음,배추김치,S무지개떡,S우유(150ml),기장밥,콩나물국,새우굴소스볶음,배추김치,무생채
S우유(150ml),,백미밥(추가),칼국수,실치볶음,배추김치,,S방울토마토,,수수밥,느타리버섯국,돼지고기굴소스볶음,쑥전,배추김치
S수제블루베리우유,,차조밥,만둣국(가공만두),닭봉조림,청경채나물,깍두기,S감자건포도샐러드,,백미밥,우렁이된장국,두부강정,호두마늘종볶음,배추김치
S전복죽,,흑미밥,어묵국,쇠고기장조림,시금치나물,배추김치,S궁중떡볶이,S우유(150ml),차조밥,연두부게살스프,치즈닭갈비,숙주나물김무침,깍두기
S키위,,짜장밥,실파미소장국,닭가슴살피망볶음,배추김치,,S소보로빵,S우유(150ml),흑미밥,시금치된장국,달걀장조림,사각어묵볶음,배추김치
S타락죽,,흰콩밥,안매운김칫국,동태전,애호박볶음,깍두기,S알리오올리오스파게티,,기장밥,안매운닭개장,버섯탕수,돌나물유자청무침,배추김치
S귤,,잡곡밥,조랭이떡국,찹스테이크,취나물볶음,배추김치,S잼샌드위치,S우유(150ml),흰콩밥,맑은동태찌개,미나리장떡,푸실리샐러드(토마토소스),배추김치
S두유(150ml),,우엉채소볶음밥,감잣국,베이컨달걀찜,배추김치,,S약식,S우유(100ml),잡곡밥,유채된장국,미트볼채소볶음,취나물된장무침,배추김치
S딸기,,기장밥,북엇국,두부조림,브로콜리채소볶음,깍두기,S참나물유부초밥,S우유(100ml),백미밥,건새우뭇국,쇠고기감자볶음,우엉채조림,배추김치
S대구채소죽,,수수밥,부추바지락국,돼지고기양배추볶음,상추사과초무침,배추김치,S우유(100ml),S쑥설기,기장밥,북어뭇국,두부달걀부침,냉이된장무침,배추김치
S오렌지,S떠먹는요구르트(100ml),쇠고기볶음밥,콩나물국,느타리버섯볶음,배추김치,양파초절임,S간장닭강정,S매실차,수수밥,바지락국,돼지고기미나리볶음,사과샐러드(마요네즈),배추김치
S옥수수스프,S크루통,차조밥,애호박된장국,오징어완자전,명엽채볶음,배추김치,S새우살크림소스볶음,,콩나물밥+양념장,팽이버섯맑은국,김말이튀김,쇠고기당근볶음,배추김치
S바나나,,잡곡밥,안매운참치김치찌개,채소달걀말이,봄동나물,깍두기,S우유(150ml),S피자빵,차조밥,오징어맑은국,닭가슴살호두조림,애호박나물,배추김치
S두유(150ml),,백미밥,잔치국수,멸치호두볶음,S군만두,배추김치,S포도,,잡곡밥,달걀팟국,깻잎참치전,연근흑임자소스무침,배추김치
S키위,S떠먹는요구르트(100ml),팥밥,냉이된장국,갈치구이,채소튀김,배추김치,S단팥빵,,백미밥,숙주맑은국,오삼불고기,표고버섯볶음,배추김치
S쇠고기채소죽,,흑미밥,콩가루쑥국,닭감자조림,머윗대나물,배추김치,S치즈스틱,,팥밥,버섯뭇국,갈치조림,브로콜리튀김,배추김치
S참치채소죽,,쇠고기콩나물밥+양념장,콩가루배춧국,상추사과무침,청포묵김무침,깍두기,S샌드위치,S우유(100ml),흑미밥,감자양팟국,치즈닭갈비,들깨무나물,배추김치
S딸기,S우유(100ml),기장밥,양배추된장국,두부양념조림,취나물볶음,배추김치,S해물굴소스볶음밥,,잡곡밥,콩나물국,조랭이떡소불고기,사과샐러드(마요네즈),배추김치
S찹쌀닭죽,,차조밥,느타리버섯국,제육볶음,(저염·저당)우엉조림,깍두기,S쑥버무리,S우유(100ml),기장밥,시금치된장국,두부달걀부침,양배추유자청샐러드,배추김치
S두유(200ml),,백미밥(추가),알리오올리오스파게티,크림스프,양파초절임,깍두기,S우유(100ml),S찐감자,차조밥,버섯된장국,오징어링튀김,맛살미역줄기볶음,깍두기
S청포도,S우유(100ml),흑미밥,청경채맑은국,닭고기장똑똑이,오이나물,배추김치,S증편,S오미자차,수수밥,쑥국,돼지고기굴소스볶음,달래김무침,배추김치
S연두부게살스프,,수수밥,건새우뭇국,쇠고기호두조림,브로콜리숙회(흑임자소스),배추김치,S약식,S우유(100ml),흑미밥,안매운닭개장,연두부+양념장,청경채나물,배추김치
S수제블루베리우유,,멸치볶음밥,팽이버섯맑은국,닭가슴살버터구이,양상추샐러드(참깨드레싱),깍두기,S잔치국수,,백미밥,바지락맑은국,너비아니구이,부추무침,깍두기
S흑임자죽,,잡곡밥,시래기된장국,오징어완자전,무생채,배추김치,S쑥채소전,S우유(100ml),백미밥,갈비탕,견과류멸치볶음,팽이버섯나물,깍두기
S과일샐러드(요거트드레싱),,팥밥,쇠고기당면국,메추리알볼어묵조림,깻잎순나물볶음,배추김치,S우유(100ml),S모닝빵+딸기잼,기장밥,우렁이두부된장국,카레닭가슴살볶음,깍두기,배추게맛살샐러드
S방울토마토,S치즈,과일카레라이스,실파미소장국,두부참치샐러드(유자청드레싱),배추김치,S떠먹는요구르트(100ml),S김가루주먹밥,S미숫가루,팥밥,볼어묵국,쇠고기잡채,버섯채소볶음,배추김치
S키위,S떠먹는요구르트(100ml),수수밥,조갯살부추맑은국,떡갈비조림,양배추나물,깍두기,S핫케이크,S매실차,잡곡밥,달걀팟국,오삼불고기,시래기된장무침,배추김치
S동태살죽,,기장밥,안매운육개장,새우살칠리소스볶음,깍두기,탕평채,S감자건포도샐러드,S우유(100ml),수수밥,부추된장국,쇠고기양배추볶음,오이무침,배추김치
S오렌지,,백미밥,떡만둣국,배추김치,냉이전,비트무초절임,S간장닭강정,S우유(100ml),기장밥,새우맑은국,돼지고기양파볶음,청포묵김무침,배추김치
S근대된장죽,,흰콩밥,북어김칫국,채소달걀찜,건파래자반,깍두기,S들깨수제비,S우유(100ml),백미밥,냉이된장국,만두탕수,가지나물,배추김치
S딸기,S우유(100ml),흑미밥,콩나물국,오리불고기,S오이당근스틱,배추김치,S무지개떡,S오렌지주스(무가당),흰콩밥,황탯국,채소달걀말이,파래무침,깍두기
S두유(150ml),,검정콩밥,두부된장국,삼치조림,숙주나물,배추김치,S카스텔라,S우유(100ml),흑미밥,들깨뭇국,훈제오리구이,맛살콩나물무침,배추김치
S사과,,기장밥,들깨미역국,돼지고기피망볶음,애호박나물,배추김치,S꼬마김밥,S우유(100ml),검정콩밥,숙주맑은국,삼치엿장구이,땅콩우엉조림,깍두기
S쇠고기죽,,차조밥,건새우된장국,(저염·저당)쇠고기장조림,도라지오이무침,깍두기,S크림소스스파게티,,기장밥,애호박새우젓국찌개,쇠고기찹스테이크,미니새송이버섯볶음,배추김치
S바나나,S우유(100ml),주꾸미미나리볶음밥,순두부백탕,옥수수채소전,배추김치,,S고구마맛탕,,차조밥,쇠고기탕국,대구전,오이나물,배추김치
S달걀채소죽,,흑미밥,돼지고기김치찌개,가자미구이,땅콩조림,깍두기,S과일샐러드(마요네즈),S우유(100ml),보리밥,달걀팟국,주꾸미간장조림,파프리카콘샐러드,배추김치
S배,S떠먹는요구르트(100ml),수수밥,두부감잣국,닭가슴살브로콜리볶음,돌나물흑임자샐러드,배추김치,S바람떡,S두유(100ml),잡곡밥,양송이된장국,맛살채소전,시금치나물,깍두기
S우유(150ml),,백미밥(추가),해물볶음우동,토마토카프레제,깍두기,,S치즈스틱,S오렌지,백미밥,(저염)닭곰탕,알감자조림,치커리유자청무침,깍두기
S청포도,S떠먹는요구르트(100ml),수수밥,냉이된장국,쇠고기숙주볶음,단호박튀김,배추김치,S블루베리고구마샐러드,,흑미밥,안매운김칫국,가자미양념조림,마카로니채소샐러드(마요네즈),깍두기
S전복죽,,백미밥,양송이스프,돈까스,양배추샐러드(딸기드레싱),배추김치,S치즈빵,,수수밥,달래된장국,쇠고기파인애플볶음,단호박견과류찜,깍두기
S(저당)씨리얼,S우유(100ml),안매운마파두부덮밥,쇠고기미역국,궁중떡볶이,배추김치,S귤,S삶은달걀,S보리차,백미밥,콩가루배춧국,돼지고기양송이볶음,양배추찜,깍두기
S양송이치즈죽,,잡곡밥,오징엇국,달걀찜,콩나물무침,배추김치,S쑥설기,S우유(100ml),차조밥,팽이버섯된장국,쇠불고기,참나물무침,배추김치
S키위,S치즈스틱,수수밥,무챗국,돼지목살구이,가지나물,배추김치,S찐감자,S우유(150ml),잡곡밥,부추달걀국,오징어채소볶음,콩나물김무침,배추김치
S두유(150ml),,쇠고기주먹밥,조랭이떡미역국,미니새송이버섯볶음,배추김치,,S핫케이크,S우유(150ml),수수밥,안매운김칫국,돼지고기장조림(안심),시래기들깨나물,깍두기
S(저당)씨리얼,S우유(150ml),흑미밥,버섯맑은국,오리불고기,부추전,배추김치,S찐옥수수,S보리차,수수밥,감자양팟국,쇠고기당면볶음,진미채간장조림,배추김치
S김치죽,,찹쌀현미밥,북엇국,곤약메추리알장조림,숙주나물,배추김치,S롤빵,S우유(150ml),흑미밥,부추된장국,훈제오리구이,느타리버섯볶음,배추김치
S오렌지,S떠먹는요구르트(100ml),백미밥(추가),감자수제비,닭가슴살버터구이,볼어묵볶음,깍두기,S백설기,S매실차,찹쌀현미밥,북어김칫국,새우까스+타르타르소스,탕평채,배추김치
S채소죽,,흑미밥,순두부찌개,게맛살파프리카볶음,오이무침,배추김치,S해물볶음우동,S우유(150ml),백미밥,볼어묵국,간장닭갈비,감자채볶음,깍두기
S방울토마토,S치즈,수수밥,시래기된장국,돼지고기찜,상추초무침,깍두기,S소보로빵,S우유(150ml),흑미밥,순두부백탕,게맛살달걀부침,오이나물,배추김치
S미숫가루,,브로콜리채소볶음밥,참치김칫국,두부강정,깍두기,,S멸치주먹밥,S우유(150ml),수수밥,들깨뭇국,돼지고기수육,양배추숙쌈+쌈장,배추김치
S참외,,백미밥,감자된장국,새우파프리카볶음,시금치나물,배추김치,S단팥빵,S우유(150ml),흑미밥,조랭이떡국,순살닭볶음탕,배추김치,오이초절임
S녹두죽,,찹쌀현미밥,맑은애호박국,두부조림,도라지오징어채무침,배추김치,S찐감자,S우유(150ml),백미밥,감잣국,쇠고기파프리카볶음,머윗대들깨나물,배추김치
S수제블루베리바나나우유,,돈육짜장밥,달걀국,버섯탕수,양배추샐러드,깍두기,S물만두,S유자차,찹쌀현미밥,두부된장찌개,오징어채소볶음,애호박나물,배추김치
S양배추현미죽,,흑미밥,냉이된장국,삼치구이,느타리버섯볶음,배추김치,S증편,S우유(150ml),완두콩밥,콩나물국,돼지고기버섯볶음,스크램블에그,깍두기
S배,S사과,수수밥,사골당면국,제육볶음,취나물볶음,배추김치,S삶은달걀,S우유(150ml),흑미밥,쇠고기미역국,삼치무조림,콩나물무침,배추김치
S두유(150ml),S청포도,팥밥,버섯맑은국,돼지고기미나리잡채,상추오이무침,배추김치,S우유(150ml),S치즈케이크,수수밥,달래된장국,두부양념조림,호두마늘종볶음,배추김치
S오렌지,,기장밥,안매운돈육김치찌개,참치채소볶음,참나물유자청무침,깍두기,S고구마맛탕,S우유(150ml),취나물밥+양념장,배추된장국,미트볼케찹조림,김구이,배추김치
S전복죽,,찹쌀현미밥,조갯살부추맑은국,짜장닭볶음,무생채,배추김치,S영양밥전,S우유(150ml),기장밥,콩가루배춧국,돼지고기단호박찜,참나물전,깍두기
S방울토마토,S떠먹는요구르트(100ml),차조밥,꽃게탕,완자전,마카로니샐러드,배추김치,S궁중떡볶이,S유자차,찹쌀현미밥,조갯살맑은국,닭가슴살데리야끼조림,부추무침,배추김치
S옥수수스프,,흑미밥,쇠고기뭇국,대구양념찜,브로콜리마늘볶음,배추김치,S단호박꿀찜,S우유(150ml),차조밥,쑥완자탕,두부달걀부침,배추김치,배추게맛살샐러드
S모닝빵+딸기잼,S키위,수수밥,근대된장국,돼지고기버섯볶음,우엉채조림,깍두기,S양배추치즈전,,흑미밥,대구살맑은국,쇠고기장똑똑이,브로콜리숙회,배추김치
S약식,,백미밥(추가),잔치국수,멸치볶음,,배추김치,S떠먹는요구르트(100ml),S견과류,수수밥,근대맑은국,돼지고기단호박찜,상추사과무침,깍두기
S참외,,완두콩밥,조갯살미역국,채소달걀찜,도라지배무침,배추김치,S유부초밥,S우유(150ml),백미밥(추가),S오이비빔국수,생선까스,깍두기,
S게살죽,,찹쌀현미밥,곰취된장국,돼지고기장조림,애호박볶음,배추김치,S채소튀김,S우유(100ml),완두콩밥,참치미역국,채소달걀말이,도라지오이무침,배추김치
S우유(150ml),,기장밥,양송이스프,함박스테이크,콘샐러드(올리브유드레싱),배추김치,S닭가지볶음밥,,찹쌀밥(추가),애호박맑은국,레몬소스탕수육,곰취나물볶음,배추김치
S찹쌀닭죽,,흑미밥,콩나물국,고등어무조림,시금치나물,배추김치,S떡국,S우유(150ml),기장밥,양송이된장국,쇠고기찹스테이크,사과샐러드,배추김치
S견과류,S떠먹는요구르트(100ml),수수밥,들깨채소국,쇠불고기,무나물,배추김치,S달걀미나리빵,S유자차,흑미밥,시금치된장국,고등어카레구이,콩나물무침,배추김치
S우유(200ml),,충무김밥,모듬어묵탕,메추리알채소폭찹,깍두기,,S쑥설기,S매실차,수수밥,들깨뭇국,쇠고기양배추볶음,양파초절임,배추김치
S참외,,기장밥,열무된장국,두부양념조림,오이나물,배추김치,S꼬마김밥,S우유(100ml),백미밥,버섯맑은국,참치채소볶음,가지튀김,깍두기
S타락죽,,찹쌀현미밥,김칫국,닭고기간장조림,숙주나물,깍두기,S찐고구마(80g),S매실차,기장밥,차돌박이된장찌개,두부강정,시래기나물,배추김치
S키위,S떠먹는요구르트(100ml),백미밥(추가),옥수수스프,돈까스,푸실리샐러드(토마토소스),배추김치,S삶은달걀,S보리차,찹쌀현미밥,감자양팟국,닭가슴살버터구이,사각어묵볶음,깍두기
S찹쌀닭죽,,팥밥,콩나물국,쇠갈비찜,파프리카무침,배추김치,S떠먹는요구르트(100ml),S온메밀국수,백미밥,꽃게된장국,새우살크림소스볶음,양배추유자청샐러드,배추김치
S토마토스크램블에그,,수수밥,들깨미역국,돼지고기파인애플볶음,연근조림,배추김치,S식빵+딸기잼,S우유(100ml),팥밥,갈비탕,멸치피망볶음,콩나물무침,배추김치
S두유(150ml),,열무보리간장비빔밥,온도토리묵국,배추김치,명엽채볶음,달걀후라이,S크림소스스파게티,,수수밥,쑥갓된장국,고등어카레구이,김자반,깍두기
S청포도,S미숫가루,기장밥,양배추된장국,오징어완자(수제),깻잎들깨나물,배추김치,S오이비빔국수,S떠먹는요구르트(100ml),잡곡밥,김국,목이버섯실파제육볶음,버섯들깨나물,배추김치
S흑임자죽,,완두콩밥,애호박된장국,쇠불고기,느타리버섯볶음,배추김치,S백설기,S우유(100ml),기장밥,두부맑은국,오징어링튀김,숙주나물김무침,배추김치
S수제바나나우유,,닭고기카레라이스,부추맑은국,생선까스+타르타르소스,배추김치,,S찐감자,S멜론퓨레,완두콩밥,조갯살미역국,쇠고기당면볶음,애호박나물,배추김치
S녹두죽,,흑미밥,돈육김치찌개,브로콜리새우볶음,배추김치,무생채,S슈크림빵,S우유(100ml),백미밥,미니우동,카레닭가슴살볶음,가지나물,배추김치
S수박,,수수밥,북엇국,곤약메추리알장조림,감자샐러드,배추김치,S송편,S우유(100ml),흑미밥,새우맑은국,돼지고기수육,양배추숙쌈+쌈장,깍두기
S우유(150ml),,백미밥,떡만둣국,아몬드잔멸치조림,배추김치,S오렌지,S크로와상샌드위치,S보리차,수수밥,건홍합맑은국,메추리알채소폭찹,청경채나물,배추김치
S수제블루베리우유,,기장밥,채소닭고기국,흰살생선전,오이들깨볶음,배추김치,S온메밀국수,,차조밥,감자양파국,쇠고기떡볶음,김자반,배추김치
S전복죽,,찹쌀현미밥,유부장국,오리불고기,열무나물,배추김치,S견과류,S떠먹는요구르트(100ml),기장밥,대구살맑은국,느타리버섯볶음,옥수수전,배추김치
S우유(100ml),S방울토마토,백미밥,미트볼스파게티,브로콜리스프,양파초절임,배추김치,S단호박꿀찜,,참나물유부초밥,부추달걀국,훈제오리구이,비트무초절임,배추김치
S단호박죽,,흑미밥,순두부백탕,오징어간장조림,머윗대들깨나물,배추김치,S피자빵,S우유(100ml),백미밥,사골팟국,미트볼채소볶음,배추김치,오이무침
S과일샐러드(마요네즈),,수수밥,안매운김칫국,쇠고기당근볶음,숙주나물김무침,깍두기,S약식,S우유(100ml),흑미밥,잘게썬오징어뭇국,연두부+흑임자소스,참외샐러드,배추김치
S두유(150ml),,참치주먹밥,들깨뭇국,달걀장조림,S수박,배추김치,S우유(100ml),S마들렌,수수밥,숙주맑은국,찹스테이크,볼어묵볶음,배추김치
S바나나,S떠먹는요구르트(100ml),기장밥,콩가루배춧국,닭가슴살호두조림,고구마순된장무침,깍두기,S참치가지볶음밥,,백미밥(추가),감자수제비,참치김치볶음,배추김치,오이초절임
S버섯죽,,옥수수밥,콩나물국,돼지고기가지볶음,건새우애호박볶음,배추김치,S수박화채,,기장밥,열무된장국,치즈닭갈비,고구마순들깨나물,깍두기
S복숭아(황도),,토마토새우볶음밥,달걀국,배추김치,우엉조림,S치즈스틱,S우유(100ml),S채소찐빵,옥수수밥,애호박맑은국,돼지고기콩나물찜,근대나물,배추김치
S옥수수스프,,완두콩밥,근대맑은국,삼치무조림,감자채볶음,배추김치,S수리취떡,S우유(100ml),백미밥,부추달걀국,해물찜,노각무침,배추김치
S오렌지,,수수밥,쇠고기미역국,마파두부,브로콜리튀김,깍두기,S우유(100ml),S치즈빵,완두콩밥,감자된장찌개,삼치카레구이,무조림,배추김치
S두유(150ml),S키위,백미밥(추가),잔치국수,게맛살파프리카볶음,양배추초절임,깍두기,S웨지감자구이,S포도주스,수수밥,쇠고기뭇국,두부양념조림,브로콜리숙회(흑임자소스),배추김치
S키위,S떠먹는요구르트(100ml),찹쌀현미밥,홍합살맑은국,쇠고기장똑똑이,미니새송이버섯볶음,배추김치,S핫케이크,S두유(100ml),백미밥,닭곰탕,표고버섯달걀전,들깨무나물,배추김치
S쇠고기채소죽,,팥밥,안매운순두부찌개,갈치구이,오이초절임,배추김치,S우유미숫가루,,찹쌀현미밥,어묵국,쇠고기피망볶음,건파래무침,배추김치
S수박,,새우카레볶음밥,들깨뭇국,닭가슴살버터구이,느타리버섯볶음,깍두기,S프렌치토스트,S우유(100ml),백미밥,김국,갈치조림,애호박나물,배추김치
S대구채소죽,,기장밥,감자국,오징어볶음+소면,도토리묵무침,배추김치,S찐만두,S우유(100ml),흑미밥,느타리버섯국,닭가슴살숙주볶음,머윗대들깨나물,배추김치
S수제블루베리우유,,차조밥,우렁이된장찌개,돼지고기수육,양배추숙쌈+쌈장,깍두기,S바람떡,S매실차,기장밥,잘게썬오징어뭇국,두부스테이크,배추김치,오이초절임
S두유(150ml),,백미밥(추가),잔치국수,해물완자전,배추김치,,S찐옥수수,S우유(100ml),차조밥,순두부백탕,돈육간장볶음,깻잎순나물볶음,깍두기
S멜론,S우유(100ml),차조밥,백짬뽕국,브로콜리달걀볶음,배추김치,비트무초절임,S참나물유부초밥,,백미밥,조랭이떡미역국,돼지고기부추잡채,청경채볶음,깍두기
S타락죽,,흑미밥,얼갈이된장국,제육볶음,미니새송이버섯볶음,배추김치,S노란시루떡,S보리차,차조밥,쇠고기숙주국,흰살생선전,오이나물,배추김치
S자두,,백미밥(추가),메밀국수,메추리알장조림,바나나사과키위샐러드,배추김치,S피자빵,S우유(100ml),흑미밥(추가),수제비,쇠고기산적,열무볶음,깍두기
S당근스프,,수수밥,어묵탕,(저염)닭가슴살단호박조림,깍두기,연근튀김,S오이비빔국수,,백미밥,건새우아욱토장국,메추리알마요네즈샐러드,(고춧가루제외)노각무침,배추김치
S사과,,기장밥,"물만둣국(달걀제외,가공만두)",치즈달걀말이,고사리나물,배추김치,S씨리얼,S우유(100ml),수수밥,양배추된장국,순살간장닭갈비,(저염)연근조림,깍두기
S두유(150ml),,쇠고기콩나물밥+양념장,근대된장국,푸실리샐러드(토마토소스),배추김치,,S우유미숫가루,,기장밥,감자국,마파두부,옥수수전,배추김치
S키위,,차조밥,콩나물국,돈육카레볶음,감자건포도샐러드,깍두기,S잼샌드위치,S우유(100ml),백미밥,부추맑은국,차돌숙주볶음,애호박나물,배추김치
S쇠고기죽,,기장밥,김칫국,오리불고기,부추전,깍두기,S찐감자,S우유(100ml),차조밥,호박고지들깨탕,돼지고기장조림,감자채볶음,배추김치
S참외샐러드,,오므라이스,팽이버섯된장국,궁중떡볶이,오이초절임,깍두기,S백설기,S우유(100ml),기장밥,쇠고기탕국,오리불고기,상추초무침,깍두기
S가지죽,,백미밥,닭곰탕,두부양념조림,애호박나물,배추김치,S증편,S우유(100ml),잡곡밥,연두부게살스프,쇠불고기,어묵곤약조림,배추김치
S청포도,S떠먹는요구르트(100ml),차조밥,부추달걀국,해물찜,숙주나물김무침,배추김치,S롤빵,S매실차,백미밥,애호박된장국,두부강정,가지무침,배추김치
S두유(150ml),,치킨마요덮밥,버섯맑은국,청경채나물,깍두기,,S약식,S우유(100ml),차조밥,배추맑은국,돼지고기마늘종볶음,탕평채,깍두기
S복숭아(황도),S떠먹는요구르트(100ml),백미밥,북엇국,떡갈비조림,양파초절임,깍두기,S토마토스파게티,,수수밥,갈비탕,토마토스크램블에그,(저염·저당)우엉조림,배추김치
S참나물죽,,흑미밥,아욱된장국,닭가슴살가지볶음,노각무침,배추김치,S카스텔라,S우유(100ml),백미밥,콩가루배춧국,(수제)떡갈비구이,고사리나물,깍두기
S방울토마토,S치즈빵,열무보리간장비빔밥,청경채맑은국,(고춧가루제외)도토리묵무침,깍두기,,S멸치주먹밥,S우유(100ml),흑미밥,안매운닭개장,연두부+흑임자소스,볼어묵볶음,배추김치
S전복죽,,차조밥,사골팟국,레몬소스탕수육,마카로니샐러드,깍두기,S단호박꿀찜,S우유(100ml),보리밥,해물탕,두부케첩조림,무나물,배추김치
S감자채요거트샐러드,,잡곡밥,콩나물김칫국,두부찹쌀가루부침,브로콜리흑임자소스무침,배추김치,S달걀볶음밥,S오렌지주스,차조밥,애호박젓국,돼지갈비찜,잔멸치볶음,배추김치
S두유(150ml),,백미밥,미니칼국수,생선까스+타르타르소스,배추김치,오이스틱,S수박,,잡곡밥,건새우아욱국,메추리알장조림,양송이버섯볶음,깍두기
S자두,,수수밥,안매운돼지고기김치찌개,새우튀김,(저염)감자조림,배추김치,S바나나핫케이크,S우유(100ml),백미밥,달걀팟국,고등어구이,파프리카콘샐러드,배추김치
S옥수수죽,S키위,기장밥,건홍합맑은국,순살닭볶음탕,깻잎순나물볶음,배추김치,S크림떡볶이,,수수밥,감자미역국,새우살크림소스볶음,맛살콩나물무침,깍두기
S견과류,S떠먹는요구르트(100ml),돈육짜장밥,유부장국,김달걀말이,배추김치,,S충무김밥,S우유(100ml),기장밥,쇠고기탕국,깻잎참치전,오이나물,배추김치
