Morning Snack1,Morning Snack2,Lunch1,Lunch2,Lunch3,Lunch4,Lunch5,Afternoon Snack1,Afternoon Snack2,Dinner1,Dinner2,Dinner3,Dinner4,Dinner5
S우유(200ml),,오징어굴소스볶음밥,미소장국,물만두,,깍두기,S크로와상,S보리차,,,,,
S멜론,S우유(200ml),완두콩밥,참치김치찌개,스크램블에그,참나물무침,깍두기,S수리취떡,S보리차,백미밥,배추들깻국,쇠고기장조림,애호박나물,깍두기
S채소죽,,흑미밥,매콤어묵국,닭고기간장조림,열무나물,배추김치,S롤빵,S우유(100ml),차조밥,호박잎된장국,돼지고기데리야끼소스볶음,곤드레나물,배추김치
S씨리얼,S우유(200ml),쇠고기콩나물밥+양념장,시금치된장국,브로콜리초무침,,배추김치,S연두부+양념장,S보리차,찹쌀현미밥,버섯찌개,임연수유자청구이,상추겉절이,깍두기
S참외,S우유(200ml),백미밥,청경채맑은국,가자미양념찜,느타리버섯나물,깍두기,S크림소스스파게티,S보리차,수수밥,아욱된장국,쇠고기떡볶음,무나물,배추김치
S수박,S우유(200ml),기장밥,순두부백탕,돼지고기볶음,치커리사과무침,배추김치,S도토리묵무침,S보리차,기장밥,오이냉국,카레닭가슴살볶음,청경채나물,깍두기
S우유(200ml),,냉콩국+소면,해물파전,,S토마토,배추김치,S꿀떡,S보리차,,,,,
S복숭아,S우유(200ml),백미밥,부추새우맑은국,돼지고기파인애플볶음,고춧잎된장무침,깍두기,S멸치주먹밥,S보리차,찹쌀현미밥,오징엇국,두부구이+양념장,연근들깨무침,배추김치
S브로콜리죽,,수수밥,안매운닭개장,미트볼조림,미나리나물,배추김치,S옥수수버터구이,S우유(100ml),기장밥,돼지고기고추장찌개,새우채소볶음,부추무침,깍두기
S바나나,,단호박영양밥,팽이버섯된장국,두부채소전,,배추김치,S소보로빵,S우유(100ml),백미밥,시래기된장국,닭볶음탕,미나리초무침,배추김치
S토마토,S우유(200ml),검정콩밥,감잣국,쇠갈비찜,가지나물,배추김치,S마카로니채소샐러드,S보리차,흑미밥,두부맑은국,어묵볶음,얼갈이무침,깍두기
S참외,S우유(200ml),차조밥,달걀국,돼지고기청경채볶음,탕평채,깍두기,S시루떡,S보리차,수수밥,김치찌개,쇠고기감자조림,가지구이무침,깍두기
S우유(200ml),,연두부된장덮밥,콩나물국,새우튀김,,배추김치,S프렌치토스트,S보리차,,,,,
S바나나,,백미밥,쇠고기미역국,치즈달걀말이,깻잎나물,배추김치,S케이크,S우유(100ml),,,,,
S쇠고기죽,,찹쌀현미밥,청경채된장국,고등어구이,비름나물,깍두기,S무지개떡,S보리차,흑미밥,버섯맑은국,닭가슴살미나리볶음,양배추나물,깍두기
S우유(200ml),,치킨마요덮밥,두부된장국,,S오렌지,배추김치,S크림빵,S보리차,,,,,
S옥수수죽,,기장밥,감자고추장찌개,돼지고기가지볶음,깻잎나물,배추김치,S간장비빔국수,S보리차,검정콩밥,새우맑은국,고등어조림,비름나물된장무침,배추김치
S김치치즈죽,,차조밥,미역국,쇠고기피망볶음,고춧잎나물,배추김치,S단호박샐러드,S우유(100ml),찹쌀현미밥,가지냉국,돼지고기구이,알감자조림,깍두기
S녹두죽,,열무보리비빔밥,유부장국,달걀후라이,,배추김치,S완자전,S보리차,백미밥,쇠고깃국,소시지채소볶음,미역초무침,배추김치
S닭죽,,흑미밥,아욱토장국,삼치카레구이,연근흑임자소스무침,배추김치,S모닝빵,S보리차,기장밥,열무된장국,제육볶음,상추쌈,깍두기
S오트밀죽,,수수밥,조갯살맑은국,두부찹쌀가루부침,오이맛살무침,배추김치,S찐고구마,S보리차,차조밥,콩비지찌개,삼치양념찜,연근조림,깍두기
S우유(200ml),,하이라이스,달걀팟국,치킨너겟+머스타드소스,,배추김치,S절편,S보리차,,,,,
S새우죽,,흑미밥,열무된장국,닭가슴살채소볶음,머윗대들깨나물,배추김치,S김가루주먹밥,S보리차,백미밥,두부찌개,쇠고기단호박찜,오이무침,배추김치
S게살죽,,기장밥,뭇국,가지달걀말이,고구마순나물,배추김치,S개피떡,S우유(100ml),찹쌀현미밥,근대된장국,닭가슴살삼색파프리카볶음,머윗대나물,배추김치
S표고버섯죽,,돼지고기잡채덮밥,김칫국,S치즈스틱,,깍두기,S마늘빵,S우유(100ml),수수밥,북엇국,채소달걀찜,가지나물,깍두기
S쇠고기미역죽,,검정콩밥,두부된장국,메추리알브로콜리볶음,도라지무침,배추김치,S닭강정,S보리차,기장밥,감자미역국,떡갈비조림,시래기나물,배추김치
S콩나물죽,,차조밥,애호박맑은국,쇠고기불고기,배추나물,깍두기,S연근전,S보리차,흑미밥,콩나물국,두부양념구이,베이컨브로콜리볶음,깍두기
S우유(200ml),,오징어굴소스볶음밥,미소장국,물만두,,깍두기,S크로와상,S보리차,,,,,
S근대된장죽,,완두콩밥,참치김치찌개,스크램블에그,참나물무침,깍두기,S수리취떡,S보리차,백미밥,배추들깻국,쇠고기장조림,애호박나물,깍두기
S채소죽,,흑미밥,매콤어묵국,닭고기간장조림,열무나물,배추김치,S롤빵,S우유(100ml),차조밥,호박잎된장국,돼지고기데리야끼소스볶음,곤드레나물,배추김치
S황태죽,,쇠고기콩나물밥+양념장,시금치된장국,브로콜리초무침,,배추김치,S연두부+양념장,S보리차,찹쌀현미밥,버섯찌개,임연수유자청구이,상추겉절이,깍두기
S달걀부추죽,,백미밥,청경채맑은국,가자미양념찜,느타리버섯나물,깍두기,S크림소스스파게티,S보리차,수수밥,아욱된장국,쇠고기떡볶음,무나물,배추김치
S단호박죽,,기장밥,순두부백탕,돼지고기볶음,치커리사과무침,배추김치,S도토리묵무침,S보리차,기장밥,오이냉국,카레닭가슴살볶음,청경채나물,깍두기
S우유(200ml),,냉콩국+소면,해물파전,,S토마토,배추김치,S꿀떡,S보리차,,,,,
S두부들깨죽,,백미밥,부추새우맑은국,돼지고기파인애플볶음,고춧잎된장무침,깍두기,S멸치주먹밥,S보리차,찹쌀현미밥,오징엇국,두부구이+양념장,연근들깨무침,배추김치
S브로콜리죽,,수수밥,안매운닭개장,미트볼조림,미나리나물,배추김치,S옥수수버터구이,S우유(100ml),기장밥,돼지고기고추장찌개,새우채소볶음,부추무침,깍두기
S누룽지죽,,단호박영양밥,팽이버섯된장국,두부채소전,,배추김치,S소보로빵,S우유(100ml),백미밥,시래기된장국,닭볶음탕,미나리초무침,배추김치
S전복죽,,검정콩밥,감잣국,쇠갈비찜,가지나물,배추김치,S마카로니채소샐러드,S보리차,흑미밥,두부맑은국,어묵볶음,얼갈이무침,깍두기
S참치채소죽,,차조밥,달걀국,돼지고기청경채볶음,탕평채,깍두기,S시루떡,S보리차,수수밥,김치찌개,쇠고기감자조림,가지구이무침,깍두기
S우유(200ml),,연두부된장덮밥,콩나물국,새우튀김,,배추김치,S프렌치토스트,S보리차,,,,,
S옥수수죽,,백미밥,쇠고기미역국,치즈달걀말이,깻잎나물,배추김치,S케이크,S우유(100ml),,,,,
S수박,S우유(200ml),검정콩밥,미역국,돼지고기떡볶음,깻잎나물,배추김치,S피자빵,S보리차,백미밥,청경채된장국,새우살볶음,숙주나물,배추김치
