name,weight,Class,Energy,Protein,Fat,Carbohydrate,Total Dietary,Calcium,Iron,Sodium,Vitamin A,Vitamin B1 (Thiamine),Vitamin B2 (Rivoflavin),Vitamin C,Linoleic Acid,Alpha-Linolenic Acid
도라지오이무침,33.1,샐러드,16.335,0.55267,0.04871,3.82478,1.0303,10.516,0.11279,25.78,4.480666667,0.008558,0.023919,2.21397,26.69343,3.38436
도라지오징어채무침,44.6,샐러드,61.896,10.11603,0.57206,3.86304,1.0009,15.864,0.58328,174.764,6.912166666,0.019719,0.044749,1.96097,80.62801,4.89802
도토리묵간장무침,44.1,샐러드,22.799,0.24708,0.37209,4.58844,0.0668,4.99,0.19402,144.6,0.35025,0.007216,0.021766,0.14237,120.34806,1.78601
도토리묵김무침,64.1,샐러드,28.971,0.96515,0.427,5.87788,0.5311,16.542,0.54481,133.482,39.61491667,0.026594,0.102917,2.30235,134.2889,3.58358
도토리묵무침,63.1,샐러드,27.321,0.57915,0.41,5.47488,0.5311,13.292,0.36881,120.542,20.86491667,0.014594,0.073417,1.37235,134.2889,3.58358
도토리묵상추무침,80,샐러드,31.17,0.784,0.2188,6.9183,1.225,18.13,0.522,122.84,41.53416667,0.02585,0.11141,11.3988,63.7081,7.9656
도토리묵채소무침,75,샐러드,29.17,0.767,0.1933,6.4248,0.955,14.53,0.4285,121.34,35.68833333,0.01905,0.08926,2.4063,59.3416,5.9196
돌나물과일샐러드,40,샐러드,51.45,0.2755,3.8035,4.4935,0.465,20.75,0.136,23.1,9.958333333,0.0367,0.02105,11.495,1967.9795,294.431
돌나물무침,40.2,샐러드,31.254,0.83332,2.21402,2.37346,0.7062,45.408,0.63328,96.564,24.95633333,0.08309,0.084884,22.392,925.7896,19.77752
돌나물부추무침,45,샐러드,41.29,0.9182,2.2125,4.9595,1.125,45.08,0.676,97.73,54.065,0.08707,0.11504,22.249,945.0074,23.3806
돌나물사과무침,45.2,샐러드,37.554,0.75782,2.21402,4.15346,0.7662,35.608,0.60278,96.414,20.56883333,0.06899,0.084334,16.883,926.2136,19.10102
돌나물오이무침,45,샐러드,40.44,0.8617,2.1815,4.8455,1.18,35.48,0.3275,97.88,49.58583333,0.05647,0.10839,18.037,945.2244,23.1256
돌나물유자청무침,45,샐러드,27.95,0.6021,0.0304,6.5707,0.514,51.34,0.2895,98.74,59.39,0.08324,0.06919,32.0391,11.6991,7.0145
돌나물초무침,40.2,샐러드,31.034,0.58212,2.14512,2.79036,0.4502,69.638,0.35538,59.184,36.67966666,0.10499,0.039094,37.7965,894.3955,21.67682
