name,Energy,Carbohydrate,Fat,Saturated Fatty acid,Trans fatty acid,Protein,Total Dietary Fiber,Calcium,Iron,Sodium,Phosphorus,Vitamin A,Total Ascorbic Acid,Vitamin D (Ergocalciferol + Cholecalciferol),group,rice_group,soup_group,main_group,sub_group,kimch_group,snack_group,dairy_group
쇠고기폭찹,102.51,5.8604,6.0226,1.9463,0,1.880737,1.641,11.45,1.142,143.7,98.08,33.9125,34.3949,0,4,0,0,1,0,0,0,0
쇠고기하이라이스,230.4,34.6208,7.0413,2.0736,0,2.8932,1.105,9.9,0.87,14.05,57.6,49.89166667,3.406,0,1,1,0,0,0,0,0,0
쇠불고기,122.47,3.102,9.9273,3.5516,0,1.468312,0.997,10.48,0.9415,163.56,67.88,54.5025,1.5305,0,4,0,0,1,0,0,0,0
수박,21.7,5.481,0.035,0.014,0,0.3871,0.14,4.2,0.126,0,8.4,49.75833333,0,0,7,0,0,0,0,0,1,0
수박샐러드,62.56,7.5747,3.8124,0.5825,0,0.020051,0.605,3.91,0.1022,23.91,9.99,0.9225,0.6669,0,5,0,0,0,1,0,0,0
수정과,86,25.78,0.3,0,0,0,5.8,0,0,4,0,0,0,0,7,0,0,0,0,0,1,0
수제떡갈비,144.53,5.5439,10.0514,3.3761,0,1.353382,0.773,22.06,1.107,27.6,87.84,22.31416667,1.2072,2.09,4,0,0,1,0,0,0,0
수제비,212.15,35.811,2.188,0.7205,0,2.406025,2.23,128.5,1.473,138.1,175,76.57083333,2.9605,4.244,2,1,0,0,0,0,0,0
수제비국,237.36,43.5015,1.141,0.2304,0,3.092962,2.332,147.13,3.2734,360.65,170.5,25.71166667,3.2325,0.064,2,1,0,0,0,0,0,0
수제비샐러드,91.66,15.5937,2.2459,0.346,0,0.281341,1.142,15.98,0.3696,64.46,36.57,40.83,5.4155,0,5,0,0,0,1,0,0,0
숙주나물,22.05,0.6838,2.0073,0.3019,0,0.108837,0.457,4.59,0.1064,1.32,9.33,0.584166667,1.881,0,5,0,0,0,1,0,0,0
숙주당근나물,23.6,1.0353,2.0138,0.3034,0,0.111387,0.612,5.79,0.1204,2.47,11.43,23.5675,2.032,0,5,0,0,0,1,0,0,0
숙주당면국,53.16,12.7205,0.0365,0.0184,0,0.127987,1.272,16.93,0.6504,3.2,17.25,23.545,3.8405,0,3,0,1,0,0,0,0,0
숙주맑은국,9.1,0.564,0.122,0.043,0,0.093636,0.372,44.84,0.3056,44.4,40.52,0.545,1.519,0.0256,3,0,1,0,0,0,0,0
숙주맛살무침,50.44,7.3392,1.0286,0.1512,0,0.705093,0.271,57.52,0.2857,294.46,57.91,0.071666667,1.086,0,5,0,0,0,1,0,0,0
숙주미나리무침,35.73,3.255,2.2273,0.3431,0,0.293301,2.065,16.49,0.3204,98.64,31.57,28.48583333,3.268,0,5,0,0,0,1,0,0,0
숙주미소장국,15.35,2.5178,0.4109,0.0701,0,0.107291,1.564,29.77,0.291,382.3,22.06,11.85666667,1.7218,0,3,0,1,0,0,0,0,0
숙주오이무침,30.58,4.7876,1.1799,0.1836,0,0.135491,1.241,11.44,0.2649,337.88,24.66,15.32083333,4.6668,0,5,0,0,0,1,0,0,0
순두부/양념장,111.2,3.0108,4.8626,0.7034,0,27.409668,1.392,34.38,1.6184,104.24,150.58,13.755,0.2738,0,4,0,0,1,0,0,0,0
순두부국,55.42,2.4344,1.4824,0.232,0,6.900452,0.938,61.68,1.0106,49.74,113.38,39.04,1.1406,0.0256,3,0,1,0,0,0,0,0
순두부낙지연포탕,73.7,2.511,1.2095,0.276,0,5.1584,0.85,131.25,1.894,351.9,221.85,1.220833333,1.8665,0.064,3,0,1,0,0,0,0,0
순두부맑은국,153.52,6.0074,4.3524,0.653,0,34.390088,1.96,137.82,2.8052,102.39,297.2,41.76833333,2.1106,0.0512,3,0,1,0,0,0,0,0
순두부백탕,58.49,3.166,1.4915,0.2346,0,6.929374,1.195,63.66,1.0377,50.35,117.47,49.36666667,1.6505,0.0256,3,0,1,0,0,0,0,0
순두부죽,150.9,24.54,1.47,0.19,0,7.426,0.3,17.1,1.09,6.4,95.1,0.1,0,0,0,0,0,0,0,0,0,0
순두부찌개,138.76,4.062,5.973,1.7239,0,9.083037,0.917,47.28,1.8529,111,192.6,46.06166667,1.9435,6.434,3,0,1,0,0,0,0,0
순두부채소죽,182.39,27.5843,3.4853,0.4915,0,7.46885,1.115,23.06,1.24,8.27,108.98,25.36833333,2.101,0,0,0,0,0,0,0,0,0
순살가자미찜,51.42,0.6836,2.1089,0.1479,0,1.997947,0.056,13.66,0.2928,212.65,64.74,2.870833333,0.671,0,4,0,0,1,0,0,0,0
순살간장닭갈비,52.93,3.8335,2.2243,0.3015,0,0.597185,0.889,11.36,0.3679,154.86,34.43,30.17666667,3.746,0,4,0,0,1,0,0,0,0
순살닭갈비,52.87,4.0111,0.4425,0.0085,0,2.22359,0.897,12.4,0.5142,211.07,50.4,37.20833333,3.746,0,4,0,0,1,0,0,0,0
순살돈육김치볶음,54.05,0.8932,2.8137,0.5849,0,1.444125,0,13.55,0.355,57.9,60.55,5.433333333,1.465,0.05,4,0,0,1,0,0,0,0
순살된장닭볶음,55.41,1.5077,2.4577,0.2949,0,1.52204,0.325,7.88,0.519,165.68,36.56,34.75,0.739,0,4,0,0,1,0,0,0,0
순살코다리강정,97.88,10.6946,2.8345,0.4347,0,1.430953,0.329,16.07,0.2993,202.42,75.4,6.816666667,0.5965,1.045,4,0,0,1,0,0,0,0
순살코다리조림,97.88,10.6946,2.8345,0.4347,0,1.430953,0.329,16.07,0.2993,202.42,75.4,6.816666667,0.5965,1.045,4,0,0,1,0,0,0,0
순살후라이드치킨,78.95,0.3924,5.0594,0.8408,0,1.6244,0,7.95,0.455,27.6,46.6,25.35,0,2.09,4,0,0,1,0,0,0,0
순한고추장찌개,27,4.834,0.1505,0.0505,0,0.125311,1.332,50.49,0.4411,46.5,54.02,49.82833333,3.298,0.0256,3,0,1,0,0,0,0,0
순한김칫국,32.35,2.174,1.072,0.178,0,0.450236,0.782,66.14,0.7096,78.9,75.27,3.990833333,1.709,0.0256,3,0,1,0,0,0,0,0
순한백짬뽕국,87.36,3.0107,4.6037,1.0249,0,1.39562,0.605,39.14,3.007,11.94,106.89,31.40083333,3.208,0.164,3,0,1,0,0,0,0,0
순한육개장,119.91,3.0502,8.2777,2.2858,0,1.779812,0.932,23.88,1.0484,41.7,103.2,32.07833333,3.3145,4.18,3,0,1,0,0,0,0,0
스크램블에그,72.7,1.3772,4.9342,1.3164,0,1.9904,0,20.8,0.72,52.4,76.4,54.4,0,8.36,4,0,0,1,0,0,0,0
스파게티,368.56,60.6878,8.9192,1.6949,0,6.872237,5.891,67.81,1.9289,886.64,165.18,61.21666667,2.4002,0.123,2,1,0,0,0,0,0,0
스팸깻잎전,105.6,7.0552,5.7062,1.4954,0,1.159225,0.705,37.4,0.58,207.75,80.7,77.89166667,6.004,2.2675,4,0,0,1,0,0,0,0
시금치감자볶음,38.3,4.2292,2.0942,0.2984,0,0.2044,0.54,9.8,0.636,11,12.4,47.93333333,14.102,0,5,0,0,0,1,0,0,0
시금치감자죽,133.95,29.274,0.207,0.009,0,0.82665,0.81,10.8,0.954,10.8,40.35,36.05,12.153,0,0,0,0,0,0,0,0,0
시금치국,19.95,2.046,0.397,0.037,0,0.176186,0.032,54.29,1.1316,303.95,48.02,48.395,12.071,0.0256,3,0,1,0,0,0,0,0
시금치김무침,12.56,2.2918,0.175,0.0014,0,0.202352,0.048,13.98,0.805,111.74,17.78,72.53083333,16.641,0,5,0,0,0,1,0,0,0
시금치나물,28.65,1.8336,2.1168,0.293,0,0.19741,0.016,11.36,0.7176,109.48,12.13,59.935,15,0,5,0,0,0,1,0,0,0
